texto,fecha,usuario
"@xbxmrll @gueryjavier20 @gestionpe jajajjajajajajaja que idiota eres hijito, te ahoga  la ignorancia, de ser efectiva la vacuna, el vacunado actúa sobre el virus con los anticuerpos ya creados, y así atenúa la infección, es decir si es tan efectiva tu vacuna no tendría porque provocar muerte en otro..borrego",2021-10-18 23:59:57 UTC,Jonatha00668136
"@marcosbarrazag @bsepulvedahales @pcdechile @prensapcdechile sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:59:53 UTC,mdp0888
"@sebastiansichel @mcubillossigall sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:59:32 UTC,mdp0888
"@rnuevomundo @hugo_gutierrez_ @x1chiledigno @marcosbarrazag @carodistrito1 @erickaportillab @valemirandacc @bsepulvedahales @robertoceledonf @elsiglochile @pcdechile sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:59:25 UTC,mdp0888
"@alsupernova @nachomdeo hola alejandra…
es un adeno virus. 
suele reaparecer. y nos agarró a todos en casa…
pero más leve por suerte…
esperemos pase pronto!!
gracias por preguntar! 🙏",2021-10-18 23:59:15 UTC,Porelortti
"@ipoduje @mcubillossigall @gabrielboric sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:55:33 UTC,mdp0888
"@constindigena @elisaloncon @jaime_bassa @tiarehey @convencioncl @lanetacl sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:55:28 UTC,mdp0888
"@elmostrador @mdaza_abogado sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:55:23 UTC,mdp0888
"@quirogacalama @tiapikachu @ccuevasz sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:55:17 UTC,mdp0888
el virus solo te dió tiempo piraña! https://t.co/er1xsfgsic,2021-10-18 23:55:03 UTC,belero83
"@berfontaine sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:55:02 UTC,mdp0888
"@maluchayallego sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:54:20 UTC,mdp0888
"@conihube sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:53:57 UTC,mdp0888
"@cesaruribea sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:53:38 UTC,mdp0888
"@cesaruribea sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:53:16 UTC,mdp0888
"@ahoraregion1 @jeniffermella @criordor @elisaloncon sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:53:11 UTC,mdp0888
"@loreto_vallejos sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad/encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por trasnacionales, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:53:00 UTC,mdp0888
sanidad de #españa reconocen que nunca fue aislado el virus ni tienen cultivos del mismo. descarga toda responsabilidad a los  médicos 🤭. https://t.co/kuyk5xlqw4,2021-10-18 23:52:50 UTC,MGuobis
"@shadow_swt sí, sí sirven, demostrado clínicamente por varios estudios científicos y médicos, ¿pero para qué?
""curar"" el virus: no, el virus no tiene una cura definida
prevenir que el virus te afecte de manera grave mediante la replicación interna: sí, le da memoria inmunológica al cuerpo",2021-10-18 23:52:30 UTC,WatameVirus
"@javierfuchsloc1 sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad del virus, encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por negociantes, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:51:44 UTC,mdp0888
"@victorbarrueto @patriciapolitz sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad del virus, encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por negociantes, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:51:35 UTC,mdp0888
@marianellacarmo me contagio el lucas sus virus malditasea jajajajajaja me volvi debil amigaa,2021-10-18 23:51:24 UTC,tamaragarroo
"@criordor sos a la cc. detener vacunación a menores,  investigar reacciones adversas, veracidad del virus, encapsulación del virus, efectividad del pcr, oms entidad privada asaltada por negociantes, discriminación estorción ilegalidad del pase de movilidad, correos ocultos del minsal, sos.",2021-10-18 23:51:23 UTC,mdp0888
"@patriciapolitz @noneutrales @manuconstituye @lanetacl @contexto_cl @baradit @tiapikachu sos a la cc. detener vavunación a menores,  investigar reacciones adversas, investigar veracidad del virus, encapsulación del.virus, efectividad del ocr, oms entidad privada asaltada por negociantes, discriminación estorción del pase de movilidad, correos ocultos del minsal, sos",2021-10-18 23:50:27 UTC,mdp0888
el virus hizo la pausa… el estallido no terminó. acá alguien tiene que caer,2021-10-18 23:47:57 UTC,manecitalinda
soy el virus me tan apodando el covid https://t.co/rv55nf6tsp,2021-10-18 23:47:15 UTC,osvaldogod1
"en estos tiempos es bueno cuidarse, no del virus sino de las personas que te apuñalan por la espalda👏",2021-10-18 23:45:35 UTC,ariana_terrel1
"@mfercorte @federicosteige2 @ale_batri @alferdez @cfkargentina y mi cuñado tmb. pero no hubo vacunas en el mundo , no acá solamente.......y si mi cuñado no se contagiaba por alguno q.salio con el virus tamb. estaría vivo,pq el se cuidaba y tenia miedo ,se contagió yendo al.super
era sano.",2021-10-18 23:44:11 UTC,pelaleproso
"tratamos de darle un homenaje digno a todos los muertos en pandemia, los pusimos en medio de toda la capital para que el mundo sepa que argentina había sido golpeada por el peor virus del mundo, el peronismo reaccionario, que no solo dejó gente sin laburo sino que sin vida.",2021-10-18 23:36:54 UTC,fjmacedonio
"@ipoolgian @karinalegorreta @axelsanzca @bentancur28 @alertanews24 tuve covid a inicios de 2020 y estuve aislado en un lugar donde vi con mis propios ojos a cientos de personas muriendo (por el virus) así que tus explicaciones anti-vacunas no funcionan, para mí siguen siendo pestes negras los no vacunados (así como yo la tuve y sobreviví).",2021-10-18 23:36:15 UTC,5a55er
"🇵🇾 el @msaludpy en su acostumbrado reporte sobre el covid-19 en paraguay, anunció que no se registró muertes por coronavirus este lunes. sin embargo, se confirmó tan solo 24 positivos a raíz de la enfermedad https://t.co/14flcmzm7y https://t.co/xqoruxgvg7",2021-10-18 23:30:55 UTC,Haupei24
"@adrianguth @elazotedelnom @ragnardannesk20 lo miré. entiendo que establece una guía para que los procesos de secuenciación que se realizan en todo el mundo tengan parámetros similares.
de hecho, no se secuencia ""el virus"" sino a los cientos de variantes existentes para encontrar sus diferencias.
https://t.co/ph9qznsurh",2021-10-18 23:29:44 UTC,Curioseantes
"@benitobaranda sos urgente que se discuta las reacciones adversas de la vacuna , los correos que el minsal no entrega, el virus no esta encapsula, la falsa, la estorción y discriminación del pase de movilidad,",2021-10-18 23:28:41 UTC,mdp0888
"@sivangobrin sivan, debes saber si el virus te dejó alguna secuela que haya que tratar. es fundamental, hacerte un ""funcional respiratorio"" y radiografía de tórax. eso es lo primero. si son normales, entonces se estudia la esfera cardiológica con ergometría y ecocardiograma. dr. m. szwebel.",2021-10-18 23:23:45 UTC,mszwebel
@gueryjavier20 @gestionpe no se trata de tener miedo. se trata de que las personas no vacunadas no sigan transportando el virus y haciendolo mutar.,2021-10-18 23:20:21 UTC,animaxtor
"@marcoporchile hoy, los correos del minsal aun no se entregan, hay una falsa emergencia , una virus no encapsulado, una discriminación y estorción del pase de movilidad, miles de reacciones adversas de la vacuna y todos callan",2021-10-18 23:19:45 UTC,mdp0888
"#esterilizacionesforzadas aún con las esterilizaciones hechas por las ongs zurdo caviares. por favor, esterilizaciones 30 soles en veterinarias, no hagan que nos lancen otro virus, cojudignos.  esterilizence, tremendo favor a la sociedad, son grandes! gracias de antemano! 😂😂",2021-10-18 23:16:37 UTC,FeministaDerech
"@srlebron sí, de escandalosos a inasequibles, pero te la recomiendo a ojo cerrado. hice el sacrificio/inversión en el 2014 y ahí está siete años después, rindiendo al 100 por ciento; nada de virus, nada de averías.",2021-10-18 23:14:56 UTC,felipegomez1960
"'ya los médicos lo han dicho, la mascarilla te mata más rápido que el virus...este es un exterminio a nivel mundial de la moral para que tú nunca más reclames nada, que seas un ente, que te pongan un chip mañana..'

ricard belmont, nuevo asesor de @pedrocastillote 🤦🤦 https://t.co/neypthry9j",2021-10-18 23:06:17 UTC,amigoperu76
"@agustinlaje es verdad que los militantes del odio buscaron mofarse del dolor ajeno, pero el monumento es el que honra ahí al gral. belgrano desde 1873. las piedras y la pegatina han sido un intento desesperado -no monumento- por visibilizar a los muertos por el virus.",2021-10-18 23:03:35 UTC,PUNNY
"#notenemosmiedo
no se relajen el virus aún es presidente 
#el18delpueblo https://t.co/k9lzxblesk",2021-10-18 23:02:11 UTC,SoniaIngrid5
"igual estamos en un contexto de pandemia, con un pésimo gobierno que no tomó las medidas adecuadas para frenar la llegada del virus… y sobre el estallido: le mostró a las élites el chile real, ese en el que la gente no gana más de 450 mil mensual. https://t.co/l3ojb9dtwq",2021-10-18 23:00:22 UTC,Edu_Bohemio
"cuiden a sus perritos, anda un virus que les agarra y más de uno no lo resiste🥺",2021-10-18 22:59:44 UTC,YamilRivas6
vuelven los finales presenciales. es hora de liberar un nuevo virus @ china 🇨🇳,2021-10-18 22:55:14 UTC,Soto184
"muere por un virus masivo, uno de los grandes artífices del fake news de las ""armas de destrucción masiva"" en #iraq https://t.co/h1tnbjkmkk",2021-10-18 22:54:34 UTC,mutantes2021
"@sofiaorona__ si por mas que lo desmintió el ""virus"" vino de ahí!!!🤪🤪🤪🤣",2021-10-18 22:50:00 UTC,chelocarpi
"@eabusad falso muy falso!!, belmont nunca nego la existencia del virus y tampoco hizo campaña contra las vacunas... q lamentable q haya gente q viva engañada, q facil se tragan las mentiras de la prensa, una prensa q tacho a belmont por denunciarlos y no estar con ellos en la corrupcion!!",2021-10-18 22:49:30 UTC,rcandiaulima
"@adrianzeneduard falso muy falso!!, belmont nunca nego la existencia del virus y tampoco hizo campaña contra las vacunas... q lamentable q haya gente q viva engañada, q facil se tragan las mentiras de la prensa, una prensa q tacho a belmont por denunciarlos y no estar con ellos en la corrupcion!!",2021-10-18 22:49:21 UTC,rcandiaulima
"@yosoyrulitos hola @yosoyrulitos buenas tardes, el bot converto me ha dado mucho problema de virus, sabes de otro para bajar y0utub€?",2021-10-18 22:46:38 UTC,MarcoBetancourt
"estoy media enojada pq quiero ver the office y no lo encuentro en ningún lado, entre a como 40 páginas así que mi compu ahora está llena de virus jajaja",2021-10-18 22:44:36 UTC,Josefina_ccc
@dammatus @joaquindiazf no que después se llena de virus,2021-10-18 22:40:25 UTC,Fabry_Bauer
"@royeratamirano @pedrocastillote nunca olvidaré que en los momentos más duros de la pandemia belmont acudía a la playa agua dulce en chorrillos decía q el virus no existía, insitaba a la gente q no usar mascarillas, se metió q nadar, mientras que muchas personas lloraban a sus familiares enfermos y fallecidos.🥺",2021-10-18 22:34:31 UTC,LaAlpinChistA
@bea2865 muchas bendiciones para tu madre y fuerza bea ten mucha fe que saldrá adelante de este maldito virus 🙏🏻🙏🏻🙏🏻,2021-10-18 22:26:02 UTC,AmoralRunning
"coronavirus: una clave para saber cómo el virus evade las vacunas | un descubrimiento de científicos argentinos y alemanes https://t.co/ysoznxpxjj 
qué grande @rama94336211!!!",2021-10-18 22:25:07 UTC,nicoiannello
@alexisl1984_0 @meganoticiascl el respaldo lo puede comparar viendo la incidencia del virus en países con alta tasa de vacunación vs países con baja tasa de vacunación.,2021-10-18 22:23:31 UTC,ViejolMolina
"@alexisl1984_0 @meganoticiascl si tienes ejemplo 100.000 vacunados y 10.000 no vacunados.
la mortalidad en vacunados aumenta en la medida que aumenta la circulación del virus.
mortalidad del grupo vacunados es decenas de veces menorma mortalidad en grupo no vacunados.",2021-10-18 22:20:56 UTC,ViejolMolina
"gracias a todos los monos prehistóricos  q están en plaza italia volveremos a las cuarentenas, ojalá el virus haga lo suyo con ellos !!!!!",2021-10-18 22:18:47 UTC,carlafachapobre
"@diegofranco84 @msaludpy o sea que s/vds.al final las vacunas sirven?  no era que mataban mas que el
virus?",2021-10-18 22:17:49 UTC,JosYegros7
"@viejolmolina @meganoticiascl se puede respaldar eso con evidencia?
- ""si la gente no se vacuna, circula más virus""
- ""si hay nuevas variantes también también"" ¿debería entender que las nuevas variantes se dan en no-inoculados? porque si es así, la epidemiologa que te mencioné debe estar mintiendo.",2021-10-18 22:16:56 UTC,AlexisL1984_0
"@tartutv barbijo ninguno, el virus desaparece cuando a ellos les conviene jaja",2021-10-18 22:13:12 UTC,nacho901
@anamari58237179 el virus del covid no es de la familia de los virus gripales. es más similar a virus de resfrios,2021-10-18 22:12:28 UTC,NoOvejita2
"@da_niel_it @toro16089038 @papumamu2 el miedo provoca los síntomas!

porqué creen que los medios de prensa hacen tanta promoción del terror con el virus?

manipulación extrema por imposición de los gobiernos.",2021-10-18 22:07:49 UTC,Silvana99659052
"@israespinal @carlospenard @wessinchavez @jaimerinconrd @felixeliastava2 amigo y tu no vives aquí, fue una decisión oficial que tiene que ser acatada por todos lo involucrados en ella. además tu forma parte de los ignorantes que no se quieren vacunar y seguir transmitiendo el virus a los demás. bien por el bravo.",2021-10-18 22:06:46 UTC,JoseAntonioHadd
"me rescate que no soy al unico que le pasa que en instagram subo una historia y veo que me miran mi historia perfiles truchos que dicen tipo ""mira mi polola en el link de mi descripcion"" jajjajajaj mansito virus debe ser si llegas a entrar en eso 😂😂",2021-10-18 22:04:32 UTC,gonzalluch
vieron que yo nunca tengo nada para contar bueno resulta que me quise descargar un apk y me termine descargando un virus que se mandó a todos mis contactos de discord https://t.co/ijj0y3tggl,2021-10-18 22:04:18 UTC,FacuBoscacci
"en los países que tienen buena cobertura de vacunación, se dará el cambio de virus pandémico a endémico, siendo entonces una enfermedad con baja morbimortalidad y sin impacto grave en los servicios de salud. #vacunatepy https://t.co/3xmdfjn8lz",2021-10-18 22:03:41 UTC,hrcastrol
"@alexisl1984_0 @meganoticiascl si la gente no se vacuna, circula más virus y la morbilidad + mortalidad incrementa. si hay nuevas variantes también también.
vacunarse sirve y sirve más en la medida que lo haga la mayoría de la gente.",2021-10-18 22:02:54 UTC,ViejolMolina
"@johannaotin @singlobosnigato @argentinatsmo @ilrapha @luolm63 nadie dijo q no te contagias o contraes el virus, pero no vas a pedir un respirador!! no entras en la uti, entendes?",2021-10-18 22:01:57 UTC,sweetnnadine
@sallelorier tenga cuidado usted no se vacunó... sabe que ahora pertenece a la minoría planetaria? digo por las dudas ya que ahora es más fácil achicar la población mundial... con un virus,2021-10-18 21:59:47 UTC,dylan_romyan
"@alexisl1984_0 @meganoticiascl estadisticamente la gran mayoría que morirá son no vacunados, si no se vacuna todo el mundo, sigue mutando el virus y se puefe volver más letal y generar nuevas variantes.
que debería decir paris? todos vamos a morir?? jaja super weon tu comentario",2021-10-18 21:55:54 UTC,ViejolMolina
"@maliux para siempre. el 0 covid jamás pasará. vacunar, ofrecer “boosters” y aprender a convivir con el virus, regresando a la normalidad, es la única vía.",2021-10-18 21:53:26 UTC,sanbedoyapardo
@oxypower_ar @mariobaldrich @hfornillo @horaciorlarreta y donde esta el ridiculo ahi?? escribiste algo coherente!! bien!! ahora razona se la misma manera pero con un virus....te cuidas para no morir. cuidas a tu familia para no matarlos.,2021-10-18 21:53:00 UTC,mabel_ferri
"la final es el 22/10

dale sin miedo acá  que no hay virus 🦠 https://t.co/z60qqoq5hc
si le das ok accedés un contenido exclusivo.

no hay de que 😎 https://t.co/zvfqacqhwd",2021-10-18 21:38:49 UTC,cuadradoagu
@elobservador_24 y como hace semejante afirmación cuando la oms dice que no hay pruebas de la secuenciacion del virus???,2021-10-18 21:35:39 UTC,Morodetucma
@juanmig51323341 no no protege así es ... los virus miden 20 a 120 micrones .. el hueco/poro de la mascarilla 1000 micrones .. eso si es cierto ...,2021-10-18 21:30:13 UTC,karinneu16
@nattaliatrinida a mi no me mandes porquerías que me vas a llenar de virus el celular. 😤😤😤😤😤,2021-10-18 21:25:43 UTC,PaabloASD
"@manenitabrzovic shuuuu…creo que al final, vacunados o no todo lo tendremos, este virus lo inventaron para disminuir la población mundial…por no seguirme te dio covid, si yo te sigo, se me sigues sanarás…bromas…ánimo que saldrás bien 👍",2021-10-18 21:17:34 UTC,SaezLalo
"no estábamos dormidos, no era un sueño momentáneo, era el virus que nos guardó...acá estamos, nunca nos fuimos!

#nuncamasderecha
#nuncamasneoliberalismo
#chiledespertoyparasiempre
#destitucionalladron https://t.co/wcfk27bxlk",2021-10-18 21:11:35 UTC,BartolodelPony
"...""esa es la ideología que ha preparado al mundo para la formación de masas y para conectar toda nuestra ansiedad por un organismo materialista-mecanicista como un virus.""",2021-10-18 21:05:31 UTC,nicodealzaa
@cooperativa que increíble.. hoy día aprendí que los vacunados no contagian y que el virus sólo contagia desde el km 201 en adelante.,2021-10-18 21:01:55 UTC,vuelvealahora
"la masa requiere un enemigo. primero fue el virus; ahora son aquellos que no compran toda la narrativa, desde el virus hasta las máscaras y la inyección de refuerzo. esto une aún más a la masa, lo que aumenta su nuevo significado en la vida.",2021-10-18 21:01:03 UTC,nicodealzaa
"sin embargo, ofrece desmet, debemos seguir hablando, pero tengamos cuidado de elegir nuestros momentos. esta es la única forma de romper el vínculo con la ansiedad flotante, en este caso, con respecto al virus. ciertamente, también está el 40% del medio, aquellos que...",2021-10-18 20:59:10 UTC,nicodealzaa
"srs virus, ya están notificados:
sólo pueden empezar a contagiar en el kilómetro 201.
atte.
gobierno de los 3 chiflados.",2021-10-18 20:58:51 UTC,jimenezmunne
el mismo gobierno que pretende luchar contra la pandemia (tampoco es que lo hagan muy bien) ha convocado a uno de los personajes menos sensatos en torno al virus y cómo mitigar sus efectos como asesor del presidente. estamos en modo avión.,2021-10-18 20:57:53 UTC,sanbedoyapardo
