texto,fecha,usuario
"@xbxmrll @gueryjavier20 @gestionpe jajajjajajajajaja que idiota eres hijito, te ahoga  la ignorancia, de ser efectiva la vacuna, el vacunado actúa sobre el virus con los anticuerpos ya creados, y así atenúa la infección, es decir si es tan efectiva tu vacuna no tendría porque provocar muerte en otro..borrego",2021-10-18 23:59:57 UTC,Jonatha00668136
maldita vacuna,2021-10-18 23:59:25 UTC,miliimigueless
"el fin de semana lo vacuna de tiro libre, guarden el tweet https://t.co/ykqxegldxx",2021-10-18 23:58:38 UTC,gimmethel00t
dioss vacuna de mierrda,2021-10-18 23:58:09 UTC,aazulfr
"#platita eso es lo que te da @alferdez si perdes un familiar x vacunarlo.  te recuerdo que de 3 a 11 años ponen sinopharm, vacuna no autorizada x oms. vas a llevar a tus hijos???",2021-10-18 23:55:38 UTC,DraGeorP
esa vacuna me tumbo 😥,2021-10-18 23:54:56 UTC,Angeles_gil_01
"@singlobosnigato esta perfecto lo que decis! son ""vacunas""! jonas salk prsento su vacuna en 1947 y recien en 1955 despues de 7 años de estudios en animalitos se aprobo su uso en humanos... hoy a solo 1 año estan experimentando en niños este producto genico al cual llaman ""vacuna"" https://t.co/msiy4xbiux",2021-10-18 23:54:54 UTC,IlRapha
"@latercera https://t.co/x87vvkvzyq                   existen otras opiniones de expertos en vacunación, robert malone, la vacuna es un negocio y no cumple con el objetivo. no insistan, y que la gente se de cuenta que no tiene que seguir con el show.",2021-10-18 23:54:40 UTC,mafirsa
me esta pegando para atrás la vacuna😟,2021-10-18 23:53:35 UTC,NaiiaraSequeira
"@404annon @semillaparabola comunistas son aweonao que me vai a venir a enseñar a mi de todo esto, si tu protesta sale por tv, no eres revolucionario eres un tonto util, mucha mascarilla mucha vacuna pocas neuronas, mucho antifa, mucho comunista, mucho marxista, mucha basura que esta toda pillada",2021-10-18 23:53:03 UTC,devezennex
la vacuna si vino con efectos secundarios pero ya estamos de vuelta 👻,2021-10-18 23:52:48 UTC,LuisKsjsj
jajajaja el chico que me gusta me abrazo y lo saque y cage a puteadas por la vacuna lpm,2021-10-18 23:52:19 UTC,Jadevalor12
más de 17 mil profesionales de la salud del seguro social recibieron la tercera dosis de la vacuna contra el covid-19 en lima y callao https://t.co/s54ezmb6wc,2021-10-18 23:52:01 UTC,elcomercio_peru
no me llega más el turno de la vacuna lpm,2021-10-18 23:51:30 UTC,ssofigo
"parece en hora punta mirando la locomoción colectiva y entenderá que la vacuna no es la solución completa, ¿estarán muy buenos los incentivos? https://t.co/czfuywtgtx",2021-10-18 23:49:57 UTC,LibertarioChris
"#vacunascovid el ministerio de salud avanza en la aplicación de la tercera dosis de la vacuna anticovid.

en esta etapa se refuerza la inmunización al personal de salud y los adultos mayores de 50 años.

#abctvpy - https://t.co/m0oxvtxrgx

#abcnoticiascentral https://t.co/7ui6sk0cxg",2021-10-18 23:49:25 UTC,ABCTVpy
"en noticias que salen hoy a pesar que los ""paranóicos"" ya lo dijeron hace un mes:

""la inmunidad natural a covid es tan buena como la vacuna."" https://t.co/jazittha7o",2021-10-18 23:48:45 UTC,respetomujeril
me siento pésimo. vacuna 1 romi 0,2021-10-18 23:47:29 UTC,bbm_147
"estaba re jugada yendo a teos el sábado sin vacunarme y recién me llego la vacuna, dale nomass!!🥳🥳",2021-10-18 23:47:29 UTC,Lolii_morales22
russiatoday | méxico prevé envasar la vacuna rusa sputnik v a partir de la segunda quincena de noviembre https://t.co/d86ye9npti https://t.co/cjlepo8zaf,2021-10-18 23:46:11 UTC,PortalDiarioAR
"vacunación anticovid en niños en uruguay: habrá definición en 2022 

menores de 12 años recibirán dosis de pfizer si se aprueba esta vacuna para ese rango etario

https://t.co/usjolszpml",2021-10-18 23:46:03 UTC,TelemundoUY
tenía turno el sábado para la vacuna y colgué 😤,2021-10-18 23:45:51 UTC,Facusantos20
"como q me di la vacuna y no me estaría doliendo nada, es normal ?",2021-10-18 23:45:32 UTC,GuastellaTobi
"@drenriqueparis ministro diga k los k están en uci están con las vacunas, ud sabe k esto es negocio para todos los gobiernos, y las personas k no se han vacunado se cuidan más y con o sin el riesgo es igual y ud mismo y todos saben k una vacuna creada en estado de emergencia no es obligatorio",2021-10-18 23:44:59 UTC,sandramunita
@favio_zerpa seguirán siendo cómplices de los acuerdos...macri fue el.impulsor del sistema df vacuna obligatoria y decime detrás de quien está la oposición???..están los soldados discursivos poniendo su.mejor cara.para sostener esta farsemia..que beneficia a unos y otros...cambiemos??,2021-10-18 23:44:15 UTC,bosquealegre12
cómo pega esa vacuna e jajaja me dormí la siesta a las 17hs y era una hora no más🤣,2021-10-18 23:43:36 UTC,milibertora1
me dio vuelta la vacuna,2021-10-18 23:42:26 UTC,abrilcampostri
"@mfercorte @federicosteige2 @ale_batri @alferdez @cfkargentina mi cuñado se murió de covid. tmb. y vos te pensas q la misma vacuna de moyano salvaba a mi cuñado q tenia 40 años ?? o si se cuidaban más y no hubiese habido gente q decía q era mentira, quemaba barbijos,marchas etc, tmb. se salvaba ??.",2021-10-18 23:40:31 UTC,pelaleproso
"más de 17 mil profesionales de la salud del seguro social recibieron la tercera dosis de la vacuna contra el covid-19 en lima y callao
https://t.co/lx33jzsqud",2021-10-18 23:40:09 UTC,Lima_ECpe
"último
el @gobmisiones confirmó que mañana martes 19 de octubre entre las 8 y las 9hs, se abrirá el transito para 800 extranjeros.
sin cupo para los argentinos varados y los posadeños que regresen en las 24 horas.
vacuna y pcr se requirerán.
no declaración jurada.",2021-10-18 23:39:19 UTC,Republica99
"hoy me puse la vacuna y mi papá me pregunta cada 5 min si estoy bien y me quiere traer la comida a la cama,yo no lo merezco a este hombre 😭",2021-10-18 23:38:13 UTC,AngelesEposto
vacuna d mierda loco me re duele el brazo😩,2021-10-18 23:37:34 UTC,Aaggus_1
"@maiteanzoategui @lealdisidente cuidado!, que la ignorancia mata y no tiene vacuna señora",2021-10-18 23:37:24 UTC,El_Baqueano
hoy al fin me pusieron la 2da dosis de la vacuna.. todo iba bien.. hasta que me empezó a doler todo mí cuerpo,2021-10-18 23:36:30 UTC,bbm_147
"@j90jorge @isabaelmayor ""...por lo que los resultados deben interpretarse con precaución.
aunque las respuestas inmunes obtenidas son robustas, se desconoce si son protectoras..""
conclusiones de jama

https://t.co/tpnhzvxhfj",2021-10-18 23:36:22 UTC,ppkiyan1
"miren la falopeada que voy a decir:
si kyrie irving termina jugando para los nets, no ganan el anillo.
si kyrie irving no se vacuna y no juega esta temporada para los nets, ganan el anillo.
solo el tiempo me juzgara.",2021-10-18 23:35:45 UTC,CumeronJohnson
la tercera dosis de la vacuna me tiene en la mala,2021-10-18 23:34:00 UTC,Itsaphroditexo
sin un brazo pero con la vacuna👍👍,2021-10-18 23:33:57 UTC,anacccclara
"@lucy_duran92 @_rcaarg hola cómo estás en realidad tendrías que ir a un alergista
o averiguar si tenés problemas de coagulación porque son los efectos que presenta la vacuna y esos están aceptados por las mismas vacunas por los fabricantes",2021-10-18 23:33:57 UTC,mrazquin2
el gobierno te cuida. en caso de vos obtiene familiar muera o quede con discapacidad @alferdez te da platita. ellos te avisaron que podía pasar.  #elpeorgobiernodelahistoria #conloschicosno @vacuna_me @minivacuname https://t.co/ohh7wueqlz,2021-10-18 23:31:25 UTC,DraGeorP
soy tan pelotuda que me olvido de la vacuna y voy y me apoyó en ese brazo🥲,2021-10-18 23:30:37 UTC,SegoviaMiche
"nadie absolutamente nadie, yo ay la vacuna no me dolió esta vez, ""alza el brazo"" ¿será que voy a perder el brazo dios mío?",2021-10-18 23:29:11 UTC,buitrago_dan
"@benitobaranda sos urgente que se discuta las reacciones adversas de la vacuna , los correos que el minsal no entrega, el virus no esta encapsula, la falsa, la estorción y discriminación del pase de movilidad,",2021-10-18 23:28:41 UTC,mdp0888
#bolivia el @saluddeportesbo anunció este lunes que habilitó la aplicación de la tercera dosis de refuerzo de la vacuna contra el #coronavirus para todos los mayores de 18 años que quieran acceder a ella de forma voluntaria. https://t.co/9vmeuwjb9n,2021-10-18 23:28:19 UTC,charlesmunozf
que mal me pego la vacuna,2021-10-18 23:28:07 UTC,Barbimolina0
"@mrazquin2 @_rcaarg ¿eso funciona? ¿qué tipo de constancia? ¿y a que profesional debería recurrir en caso de que no me quede otra opción para evitar la vacuna? no me voy a vacunar ni bajo amenaza, menos con mis problemas de salud base.",2021-10-18 23:27:29 UTC,lucy_duran92
vacuna del orrto,2021-10-18 23:26:41 UTC,luliinunez_
"ahora sí, no me entra  tanta felicidad  en el cuerpo, le llegó el turno para la vacuna a mi hija de 12 años!!!
✌️✌️✌️",2021-10-18 23:25:54 UTC,sebastian_puig
"y hoy explotó un geriátrico , todos vacunados con la spuntnik doble dosis. 31 abuelos y 7 personal de cuidado contagiados. que buena vacuna? @msalnacion fue en lincoln https://t.co/deeqx1hjvn",2021-10-18 23:25:19 UTC,judithcoria55
